,,,,name_handle,,subscribers,1 post reach,citation index
256 003,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,55.4k,2 657.3,#21
55.4k,,drop,,#VALUE!,,1 post reach,citation index,Милитарист178 936 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 657.3,#21,178 936
2 657.3,,drop,,#VALUE!,,citation index,Милитарист178 936 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#21,178 936,81.2k
#21,,drop,,#VALUE!,,Милитарист178 936 subscribersNews and media,subscribers,1 post reach
Милитарист178 936 subscribersNews and media,https://tgstat.ru/en/channel/@infantmilitario/stat,https://tgstat.ru/en/channel/,infantmilitario/stat,infantmilitario,stat,178 936,81.2k,2 630.9
178 936,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,81.2k,2 630.9,#22
81.2k,,drop,,#VALUE!,,1 post reach,citation index,Репортёр Руденко V🇷🇺275 660 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 630.9,#22,275 660
2 630.9,,drop,,#VALUE!,,citation index,Репортёр Руденко V🇷🇺275 660 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#22,275 660,252.1k
#22,,drop,,#VALUE!,,Репортёр Руденко V🇷🇺275 660 subscribersNews and media,subscribers,1 post reach
Репортёр Руденко V🇷🇺275 660 subscribersNews and media,https://tgstat.ru/en/channel/@RtrDonetsk/stat,https://tgstat.ru/en/channel/,RtrDonetsk/stat,RtrDonetsk,stat,275 660,252.1k,2 600.8
275 660,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,252.1k,2 600.8,#23
252.1k,,drop,,#VALUE!,,1 post reach,citation index,Sputnik Ближнее зарубежье199 611 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 600.8,#23,199 611
2 600.8,,drop,,#VALUE!,,citation index,Sputnik Ближнее зарубежье199 611 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#23,199 611,51.8k
#23,#ERROR!,drop,,#VALUE!,,Sputnik Ближнее зарубежье199 611 subscribersNews and media,subscribers,1 post reach
Sputnik Ближнее зарубежье199 611 subscribersNews and media,https://tgstat.ru/en/channel/@sputniklive/stat,https://tgstat.ru/en/channel/,sputniklive/stat,sputniklive,stat,199 611,51.8k,2 588.5
199 611,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,51.8k,2 588.5,#24
51.8k,,drop,,#VALUE!,,1 post reach,citation index,Медуза — LIVE1 279 886 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,2 588.5,#24,1 279 886
2 588.5,,drop,,#VALUE!,,citation index,Медуза — LIVE1 279 886 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#24,1 279 886,347.5k
#24,,drop,,#VALUE!,,Медуза — LIVE1 279 886 subscribersNews and media,subscribers,1 post reach
Медуза — LIVE1 279 886 subscribersNews and media,https://tgstat.ru/en/channel/@meduzalive/stat,https://tgstat.ru/en/channel/,meduzalive/stat,meduzalive,stat,1 279 886,347.5k,2 535.3
1 279 886,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,347.5k,2 535.3,#25
347.5k,,drop,,#VALUE!,,1 post reach,citation index,На видео видно56 212 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 535.3,#25,56 212
2 535.3,,drop,,#VALUE!,,citation index,На видео видно56 212 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#25,56 212,14k
#25,#ERROR!,drop,,#VALUE!,,На видео видно56 212 subscribersNews and media,subscribers,1 post reach
На видео видно56 212 subscribersNews and media,https://tgstat.ru/en/channel/@navideovidno/stat,https://tgstat.ru/en/channel/,navideovidno/stat,navideovidno,stat,56 212,14k,2 389.0
56 212,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,14k,2 389.0,#26
14k,,drop,,#VALUE!,,1 post reach,citation index,Военный Осведомитель517 615 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,2 389.0,#26,517 615
2 389.0,,drop,,#VALUE!,,citation index,Военный Осведомитель517 615 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#26,517 615,227.2k
